x0,x1,x2,y,x3,x4,x5,x6,x7
A1,A66,A0,125,5,0.16,1,157,388.14285714285717
A0,A12,A1,51,1,0.03,1,0,268.7142857142857
A2,A36,A1,96,21,1.38,1,3,427.0
A2,A11,A0,179,3,0.58,1,6,428.85714285714283
A0,A67,A0,129,1,3.97,5,255,430.2857142857143
A2,A50,A0,180,3,0.14,1,0,284.0
A2,A44,A1,100,1,,9,283,
A4,A68,A0,75,6,0.8,1,278,428.42857142857144
A2,A3,A1,75,3,2.01,1,224,431.0
A0,A21,A0,149,5,0.04,1,0,289.57142857142856
A0,A0,A1,60,1,0.14,1,0,401.7142857142857
A0,A6,A1,99,1,0.32,1,0,380.57142857142856
A0,A6,A2,28,1,4.02,4,133,422.2857142857143
A2,A19,A1,104,2,0.07,1,0,366.7142857142857
A2,A3,A0,68,2,0.29,1,0,324.0
A1,A52,A1,65,2,3.24,2,59,431.57142857142856
A2,A13,A0,135,5,1.0,2,145,430.85714285714283
A2,A3,A1,79,2,0.05,1,0,353.14285714285717
A0,A29,A0,140,2,1.65,1,2,402.85714285714283
A2,A19,A0,650,1,,8,323,
A2,A13,A0,74,27,0.03,1,0,297.2857142857143
A0,A5,A1,90,2,0.1,1,343,391.0
A2,A8,A0,295,3,0.8,1,140,431.0
A0,A12,A1,63,1,2.02,12,51,427.0
A2,A48,A0,150,2,,1,0,
A0,A12,A0,110,2,2.21,2,267,430.2857142857143
A2,A14,A1,150,3,,1,0,
A2,A45,A0,280,2,,1,0,
A2,A3,A1,60,1,3.24,3,211,431.7142857142857
A0,A0,A1,79,1,0.09,1,89,386.85714285714283
A0,A0,A0,175,3,1.23,1,54,429.7142857142857
A2,A17,A0,210,1,1.35,1,305,431.14285714285717
A0,A56,A0,150,1,,1,9,
A2,A8,A0,150,3,0.02,1,0,189.57142857142858
A1,A61,A2,35,2,0.16,3,310,404.85714285714283
A2,A45,A1,100,1,0.03,1,0,300.85714285714283
A1,A61,A0,69,6,1.25,1,30,429.7142857142857
A2,A69,A0,225,1,,33,364,
A2,A23,A1,115,1,3.22,1,33,430.7142857142857
A2,A13,A0,200,30,,7,365,
